Island,Site,Transect,FG.how,FG.what,biomass_kg_ha,productivity_kg_ha_day
Aride,Site 1,1,Browser,Macroalgae,0,0
Aride,Site 1,1,Brusher,Detritus and sediment,37.1,0.051377939
Aride,Site 1,1,Concealed cropper,Turf algae,5.2,0.00861132
Aride,Site 1,1,Cropper,Turf algae,0,0
Aride,Site 1,1,Excavator,Microscopic cyanobacteria,114.9,0.000369475
Aride,Site 1,1,Farmer,Turf algae (within defended territories),0,0
Aride,Site 1,1,Scraper,Microscopic cyanobacteria,293.8,0.197908531
Aride,Site 1,1,Sediment sucker,Detritus and sediment,934.6,0.892746617
Aride,Site 1,2,Browser,Macroalgae,369,0.150454987
Aride,Site 1,2,Brusher,Detritus and sediment,20,0.059223094
Aride,Site 1,2,Concealed cropper,Turf algae,5.2,0.00861132
Aride,Site 1,2,Cropper,Turf algae,136.6,0.059555969
Aride,Site 1,2,Excavator,Microscopic cyanobacteria,59.7,0.045558512
Aride,Site 1,2,Farmer,Turf algae (within defended territories),17.2,0.014808571
Aride,Site 1,2,Scraper,Microscopic cyanobacteria,289.4,0.182554768
Aride,Site 1,2,Sediment sucker,Detritus and sediment,0,0
Aride,Site 1,3,Browser,Macroalgae,0,0
Aride,Site 1,3,Brusher,Detritus and sediment,9,0.028610464
Aride,Site 1,3,Concealed cropper,Turf algae,0,0
Aride,Site 1,3,Cropper,Turf algae,7.7,0.013964006
Aride,Site 1,3,Excavator,Microscopic cyanobacteria,0,0
Aride,Site 1,3,Farmer,Turf algae (within defended territories),48,0.040769007
Aride,Site 1,3,Scraper,Microscopic cyanobacteria,584.1,0.223071877
Aride,Site 1,3,Sediment sucker,Detritus and sediment,0,0
Aride,Site 1,4,Browser,Macroalgae,260.4,0.082043693
Aride,Site 1,4,Brusher,Detritus and sediment,0,0
Aride,Site 1,4,Concealed cropper,Turf algae,0,0
Aride,Site 1,4,Cropper,Turf algae,3.2,0.006600973
Aride,Site 1,4,Excavator,Microscopic cyanobacteria,88.7,0.017158241
Aride,Site 1,4,Farmer,Turf algae (within defended territories),9.2,0.004079678
Aride,Site 1,4,Scraper,Microscopic cyanobacteria,290.3,0.135459839
Aride,Site 1,4,Sediment sucker,Detritus and sediment,78,0.047165792
