Sample ID,Date,Island,Site,Sample Type,Species,N15,Turf cage number
250,08_November_2022,Aride,Site 1,Leaves,Scaveola,14.5,
251,08_November_2022,Aride,Site 1,Leaves,Scaveola,14.9,
252,08_November_2022,Aride,Site 1,Leaves,Scaveola,14.4,
253,08_November_2022,Aride,Site 1,Leaves,Scaveola,14,
254,08_November_2022,Aride,Site 1,Leaves,Scaveola,13.9,
255,08_November_2022,Aride,Site 1,Leaves,Scaveola,14,
256,08_November_2022,Aride,Site 1,Leaves,Scaveola,16.3,
257,08_November_2022,Aride,Site 1,Leaves,Scaveola,15.6,
258,08_November_2022,Aride,Site 1,Leaves,Scaveola,15.2,
259,08_November_2022,Aride,Site 1,Leaves,Scaveola,14.8,
290,12_November_2022,Cousine,Site 1,Leaves,Scaveola,14.8,
291,12_November_2022,Cousine,Site 1,Leaves,Scaveola,13.7,
292,12_November_2022,Cousine,Site 1,Leaves,Scaveola,13.7,
293,12_November_2022,Cousine,Site 1,Leaves,Scaveola,14.1,
294,12_November_2022,Cousine,Site 1,Leaves,Scaveola,13.1,
295,12_November_2022,Cousine,Site 1,Leaves,Scaveola,12.4,
296,12_November_2022,Cousine,Site 1,Leaves,Scaveola,12.3,
297,12_November_2022,Cousine,Site 1,Leaves,Scaveola,14.1,
298,12_November_2022,Cousine,Site 1,Leaves,Scaveola,13.9,
299,12_November_2022,Cousine,Site 1,Leaves,Scaveola,13.9,
447,15_November_2022,Felicite,Site 1,Leaves,Scaveola,3,
448,15_November_2022,Felicite,Site 1,Leaves,Scaveola,4.6,
449,15_November_2022,Felicite,Site 1,Leaves,Scaveola,3.7,
450,15_November_2022,Felicite,Site 1,Leaves,Scaveola,2.8,
451,15_November_2022,Felicite,Site 1,Leaves,Scaveola,3.3,
452,15_November_2022,Felicite,Site 1,Leaves,Scaveola,5.2,
453,15_November_2022,Felicite,Site 1,Leaves,Scaveola,4.4,
454,15_November_2022,Felicite,Site 1,Leaves,Scaveola,3.9,
455,15_November_2022,Felicite,Site 1,Leaves,Scaveola,5,
456,15_November_2022,Felicite,Site 1,Leaves,Scaveola,4.9,
166,04-November_2022,Fregate,High,Leaves,Scaveola,12.1,
167,04-November_2022,Fregate,High,Leaves,Scaveola,11.6,
168,04-November_2022,Fregate,High,Leaves,Scaveola,15.1,
169,04-November_2022,Fregate,High,Leaves,Scaveola,10.2,
170,04-November_2022,Fregate,High,Leaves,Scaveola,9.8,
171,04-November_2022,Fregate,High,Leaves,Scaveola,11.8,
172,04-November_2022,Fregate,High,Leaves,Scaveola,13.1,
173,04-November_2022,Fregate,High,Leaves,Scaveola,10.1,
174,04-November_2022,Fregate,High,Leaves,Scaveola,9.2,
175,04-November_2022,Fregate,High,Leaves,Scaveola,12.3,
176,05-November_2022,Fregate,Low,Leaves,Scaveola,6.6,
177,05-November_2022,Fregate,Low,Leaves,Scaveola,8.3,
178,05-November_2022,Fregate,Low,Leaves,Scaveola,6.4,
179,05-November_2022,Fregate,Low,Leaves,Scaveola,9.5,
180,05-November_2022,Fregate,Low,Leaves,Scaveola,7,
181,05-November_2022,Fregate,Low,Leaves,Scaveola,9.9,
182,05-November_2022,Fregate,Low,Leaves,Scaveola,7.1,
183,05-November_2022,Fregate,Low,Leaves,Scaveola,9.6,
184,05-November_2022,Fregate,Low,Leaves,Scaveola,8.9,
185,05-November_2022,Fregate,Low,Leaves,Scaveola,7.8,
507,17_November_2022,Aride,Site 1,Turf algae,Turf,3.6,1
